step,t_ps,T_K,Epot_eV,Al_height_A,Al_slabMin_A,Al_nCl,Al_nO,Al_SiMin_A
20500,20.500,332.4,-124888.016,3.667,3.753,2,0,nan
20550,20.550,349.8,-124887.812,3.718,3.818,2,0,nan
20600,20.600,343.8,-124887.953,3.700,3.780,2,0,nan
20650,20.650,314.9,-124887.789,3.827,3.911,2,0,nan
20700,20.700,339.0,-124887.570,3.619,3.707,2,0,nan
20750,20.750,363.0,-124887.492,3.824,3.902,2,0,nan
20800,20.800,368.7,-124887.906,3.773,3.837,2,0,nan
20850,20.850,338.8,-124887.859,3.663,3.735,2,0,nan
20900,20.900,323.5,-124887.969,3.612,3.634,2,0,nan
20950,20.950,298.0,-124887.625,3.411,3.432,2,0,nan
21000,21.000,301.0,-124887.469,3.646,3.651,2,0,nan
21050,21.050,371.5,-124887.945,3.644,3.657,2,0,nan
21100,21.100,339.5,-124887.664,3.749,3.761,2,0,nan
