charge_depth_mAh_cm2,tau_s,gamma_ohm
0.13322,7.109190e-05,2.783550e+00
0.13322,7.976643e-05,3.017201e+00
0.13322,8.949940e-05,3.270619e+00
0.13322,1.004200e-04,3.548646e+00
0.13322,1.126731e-04,3.855907e+00
0.13322,1.264213e-04,4.196646e+00
0.13322,1.418470e-04,4.574598e+00
0.13322,1.591549e-04,4.992898e+00
0.13322,1.785748e-04,5.454018e+00
0.13322,2.003642e-04,5.959739e+00
0.13322,2.248123e-04,6.511146e+00
0.13322,2.522436e-04,7.108653e+00
0.13322,2.830220e-04,7.752033e+00
0.13322,3.175559e-04,8.440476e+00
0.13322,3.563035e-04,9.172644e+00
0.13322,3.997791e-04,9.946744e+00
0.13322,4.485596e-04,1.076059e+01
0.13322,5.032921e-04,1.161167e+01
0.13322,5.647030e-04,1.249723e+01
0.13322,6.336072e-04,1.341429e+01
0.13322,7.109190e-04,1.435975e+01
0.13322,7.976643e-04,1.533039e+01
0.13322,8.949940e-04,1.632295e+01
0.13322,1.004200e-03,1.733413e+01
0.13322,1.126731e-03,1.836064e+01
0.13322,1.264213e-03,1.939923e+01
0.13322,1.418470e-03,2.044669e+01
0.13322,1.591549e-03,2.149991e+01
0.13322,1.785748e-03,2.255591e+01
0.13322,2.003642e-03,2.361187e+01
0.13322,2.248123e-03,2.466519e+01
0.13322,2.522436e-03,2.571361e+01
0.13322,2.830220e-03,2.675527e+01
0.13322,3.175559e-03,2.778882e+01
0.13322,3.563035e-03,2.881361e+01
0.13322,3.997791e-03,2.982983e+01
0.13322,4.485596e-03,3.083867e+01
0.13322,5.032921e-03,3.184258e+01
0.13322,5.647030e-03,3.284538e+01
0.13322,6.336072e-03,3.385256e+01
0.13322,7.109190e-03,3.487136e+01
0.13322,7.976643e-03,3.591104e+01
0.13322,8.949940e-03,3.698291e+01
0.13322,1.004200e-02,3.810053e+01
0.13322,1.126731e-02,3.927971e+01
0.13322,1.264213e-02,4.053852e+01
0.13322,1.418470e-02,4.189727e+01
0.13322,1.591549e-02,4.337842e+01
0.13322,1.785748e-02,4.500638e+01
0.13322,2.003642e-02,4.680737e+01
0.13322,2.248123e-02,4.880915e+01
0.13322,2.522436e-02,5.104066e+01
0.13322,2.830220e-02,5.353179e+01
0.13322,3.175559e-02,5.631291e+01
0.13322,3.563035e-02,5.941450e+01
0.13322,3.997791e-02,6.286675e+01
0.13322,4.485596e-02,6.669911e+01
0.13322,5.032921e-02,7.093987e+01
0.13322,5.647030e-02,7.561576e+01
0.13322,6.336072e-02,8.075150e+01
0.13322,7.109190e-02,8.636950e+01
0.13322,7.976643e-02,9.248948e+01
0.13322,8.949940e-02,9.912819e+01
