charge_depth_mAh_cm2,tau_s,gamma_ohm
0.13322,6.336072e-05,3.084021e+00
0.13322,7.109190e-05,3.385459e+00
0.13322,7.976643e-05,3.625285e+00
0.13322,8.949940e-05,3.785453e+00
0.13322,1.004200e-04,3.851508e+00
0.13322,1.126731e-04,3.814154e+00
0.13322,1.264213e-04,3.670681e+00
0.13322,1.418470e-04,3.426152e+00
0.13322,1.591549e-04,3.094277e+00
0.13322,1.785748e-04,2.697886e+00
0.13322,2.003642e-04,2.268961e+00
0.13322,2.248123e-04,1.848185e+00
0.13322,2.522436e-04,1.484018e+00
0.13322,2.830220e-04,1.231316e+00
0.13322,3.175559e-04,1.149542e+00
0.13322,3.563035e-04,1.300654e+00
0.13322,3.997791e-04,1.746756e+00
0.13322,4.485596e-04,2.547627e+00
0.13322,5.032921e-04,3.758257e+00
0.13322,5.647030e-04,5.426495e+00
0.13322,6.336072e-04,7.590942e+00
0.13322,7.109190e-04,1.027918e+01
0.13322,7.976643e-04,1.350643e+01
0.13322,8.949940e-04,1.727471e+01
0.13322,1.004200e-03,2.157253e+01
0.13322,1.126731e-03,2.637510e+01
0.13322,1.264213e-03,3.164511e+01
0.13322,1.418470e-03,3.733398e+01
0.13322,1.591549e-03,4.338355e+01
0.13322,1.785748e-03,4.972814e+01
0.13322,2.003642e-03,5.629690e+01
0.13322,2.248123e-03,6.301624e+01
0.13322,2.522436e-03,6.981252e+01
0.13322,2.830220e-03,7.661454e+01
0.13322,3.175559e-03,8.335608e+01
0.13322,3.563035e-03,8.997814e+01
0.13322,3.997791e-03,9.643105e+01
0.13322,4.485596e-03,1.026762e+02
0.13322,5.032921e-03,1.086873e+02
0.13322,5.647030e-03,1.144519e+02
0.13322,6.336072e-03,1.199712e+02
0.13322,7.109190e-03,1.252614e+02
0.13322,7.976643e-03,1.303524e+02
0.13322,8.949940e-03,1.352887e+02
0.13322,1.004200e-02,1.401273e+02
0.13322,1.126731e-02,1.449377e+02
0.13322,1.264213e-02,1.498001e+02
0.13322,1.418470e-02,1.548040e+02
0.13322,1.591549e-02,1.600466e+02
0.13322,1.785748e-02,1.656312e+02
0.13322,2.003642e-02,1.716650e+02
0.13322,2.248123e-02,1.782579e+02
0.13322,2.522436e-02,1.855202e+02
0.13322,2.830220e-02,1.935609e+02
0.13322,3.175559e-02,2.024863e+02
0.13322,3.563035e-02,2.123984e+02
0.13322,3.997791e-02,2.233932e+02
0.13322,4.485596e-02,2.355599e+02
0.13322,5.032921e-02,2.489795e+02
0.13322,5.647030e-02,2.637238e+02
0.13322,6.336072e-02,2.798551e+02
0.13322,7.109190e-02,2.974253e+02
0.13322,7.976643e-02,3.164757e+02
0.13322,8.949940e-02,3.370366e+02
0.13322,1.004200e-01,3.591275e+02
0.13322,1.126731e-01,3.827574e+02
0.13322,1.264213e-01,4.079245e+02
0.13322,1.418470e-01,4.346172e+02
0.13322,1.591549e-01,4.628146e+02
0.13322,1.785748e-01,4.924866e+02
0.13322,2.003642e-01,5.235955e+02
0.13322,2.248123e-01,5.560959e+02
0.13322,2.522436e-01,5.899363e+02
0.13322,2.830220e-01,6.250597e+02
0.13322,3.175559e-01,6.614046e+02
0.13322,3.563035e-01,6.989057e+02
0.13322,3.997791e-01,7.374952e+02
0.13322,4.485596e-01,7.771036e+02
0.13322,5.032921e-01,8.176603e+02
0.13322,5.647030e-01,8.590948e+02
0.13322,6.336072e-01,9.013372e+02
0.13322,7.109190e-01,9.443192e+02
0.13322,7.976643e-01,9.879741e+02
0.13322,8.949940e-01,1.032238e+03
0.13322,1.004200e+00,1.077050e+03
0.13322,1.126731e+00,1.122352e+03
0.13322,1.264213e+00,1.168091e+03
0.13322,1.418470e+00,1.214215e+03
0.13322,1.591549e+00,1.260679e+03
0.13322,1.785748e+00,1.307439e+03
0.13322,2.003642e+00,1.354457e+03
0.13322,2.248123e+00,1.401697e+03
0.13322,2.522436e+00,1.449128e+03
0.13322,2.830220e+00,1.496721e+03
0.13322,3.175559e+00,1.544451e+03
0.13322,3.563035e+00,1.592295e+03
0.13322,3.997791e+00,1.640234e+03
0.13322,4.485596e+00,1.688252e+03
0.13322,5.032921e+00,1.736332e+03
0.13322,5.647030e+00,1.784463e+03
0.13322,6.336072e+00,1.832633e+03
0.13322,7.109190e+00,1.880834e+03
0.13322,7.976643e+00,1.929056e+03
0.13322,8.949940e+00,1.977296e+03
0.13322,1.004200e+01,2.025546e+03
0.13322,1.126731e+01,2.073803e+03
0.13322,1.264213e+01,2.122064e+03
0.13322,1.418470e+01,2.170328e+03
0.13322,1.591549e+01,2.218591e+03
0.16653,1.591549e-07,0.000000e+00
0.16653,1.785748e-07,0.000000e+00
0.16653,2.003642e-07,0.000000e+00
0.16653,2.248123e-07,0.000000e+00
0.16653,2.522436e-07,0.000000e+00
0.16653,2.830220e-07,0.000000e+00
0.16653,3.175559e-07,0.000000e+00
0.16653,3.563035e-07,0.000000e+00
0.16653,3.997791e-07,0.000000e+00
0.16653,4.485596e-07,0.000000e+00
0.16653,5.032921e-07,0.000000e+00
0.16653,5.647030e-07,0.000000e+00
0.16653,6.336072e-07,0.000000e+00
0.16653,7.109190e-07,0.000000e+00
